category,category_label,token,label,type,unit,themeable,cardinality,value_index,css_properties,value_light,value_dark
effect,그림자·그라디언트,--app-shadow,패널 그림자,shadow,,true,list,0,box-shadow,"0 14px 40px rgba(20, 35, 70, 0.08)","0 18px 48px rgba(0, 0, 0, 0.38)"
effect,그림자·그라디언트,--app-sidebar-shadow,사이드바 그림자,shadow,,true,list,0,box-shadow,"8px 0 28px rgba(20, 35, 70, 0.04)","8px 0 32px rgba(0, 0, 0, 0.32)"
effect,그림자·그라디언트,--app-theme-toggle-gradient,테마 토글 그라디언트,gradient,,true,single,0,background-image,"linear-gradient(135deg, #f8fafc 0 48%, #111827 50% 100%)","linear-gradient(135deg, #0c3b2e 0 48%, #28c39d 50% 100%)"
background,배경(다중 레이어),--app-hero-bg-image,히어로 배경 레이어,gradient,,true,list,0,background-image,"linear-gradient(180deg, rgba(71,104,216,0.12) 0%, rgba(71,104,216,0) 60%)","linear-gradient(180deg, rgba(40,195,157,0.14) 0%, rgba(40,195,157,0) 60%)"
background,배경(다중 레이어),--app-hero-bg-image,히어로 배경 레이어,gradient,,true,list,1,background-image,"radial-gradient(1200px 400px at 50% -10%, rgba(71,104,216,0.18), transparent)","radial-gradient(1200px 400px at 50% -10%, rgba(40,195,157,0.20), transparent)"
background,배경(다중 레이어),--app-hero-bg-color,히어로 배경 fallback 색,color,,true,single,0,background-color,#f6f8fc,#0d0e10
radius,모서리 반경,--app-radius,기본 반경,length,px,false,single,0,border-radius,10px,
radius,모서리 반경,--app-radius-small,작은 반경,length,px,false,single,0,border-radius,6px,
border,테두리,--app-border-width,기본 테두리 두께,length,px,false,single,0,border-width,1px,
spacing,간격,--app-space-1,간격 1,length,px,false,single,0,margin;padding;gap,4px,
spacing,간격,--app-space-2,간격 2,length,px,false,single,0,margin;padding;gap,8px,
spacing,간격,--app-space-3,간격 3,length,px,false,single,0,margin;padding;gap,12px,
spacing,간격,--app-space-4,간격 4,length,px,false,single,0,margin;padding;gap,16px,
spacing,간격,--app-space-5,간격 5,length,px,false,single,0,margin;padding;gap,20px,
spacing,간격,--app-panel-gap,패널 간격,length,px,false,single,0,gap,12px,
spacing,간격,--app-content-padding,콘텐츠 여백,length,px,false,single,0,padding,20px,
typography-size,글자 크기,--app-font-size-xs,아주 작게,length,px,false,single,0,font-size,10px,
typography-size,글자 크기,--app-font-size-small,작게,length,px,false,single,0,font-size,12px,
typography-size,글자 크기,--app-font-size-control,컨트롤,length,px,false,single,0,font-size,13px,
typography-size,글자 크기,--app-font-size-body,본문,length,px,false,single,0,font-size,14px,
typography-size,글자 크기,--app-font-size-heading,제목,length,px,false,single,0,font-size,16px,
typography-weight,글자 두께,--app-font-weight-label,라벨,number,,false,single,0,font-weight,700,
typography-weight,글자 두께,--app-font-weight-strong,강조,number,,false,single,0,font-weight,800,
typography-weight,글자 두께,--app-font-weight-heading,제목,number,,false,single,0,font-weight,900,
typography-weight,글자 두께,--app-font-weight-title,타이틀,number,,false,single,0,font-weight,950,
typography-family,폰트 패밀리,--app-font-heading,제목 폰트,fontFamily,,false,single,0,font-family,"Inter, Pretendard, -apple-system, BlinkMacSystemFont, ""Segoe UI"", sans-serif",
typography-family,폰트 패밀리,--app-font-body,본문 폰트,fontFamily,,false,single,0,font-family,"Inter, Roboto, Pretendard, -apple-system, BlinkMacSystemFont, ""Segoe UI"", sans-serif",
typography-family,폰트 패밀리,--app-font-mono,고정폭 폰트,fontFamily,,false,single,0,font-family,"""SFMono-Regular"", Consolas, ""Liberation Mono"", monospace",
transition,전환(Transition),--app-transition-duration-fast,전환 시간(빠름),duration,ms,false,single,0,transition-duration,160ms,
transition,전환(Transition),--app-transition-duration-normal,전환 시간(보통),duration,ms,false,single,0,transition-duration,200ms,
transition,전환(Transition),--app-transition-duration-slow,전환 시간(느림),duration,ms,false,single,0,transition-duration,320ms,
transition,전환(Transition),--app-transition-delay,전환 지연,duration,ms,false,single,0,transition-delay,0ms,
transition,전환(Transition),--app-ease,이징 기본(ease),easing,,false,single,0,transition-timing-function,"cubic-bezier(0.25, 0.1, 0.25, 1)",
transition,전환(Transition),--app-ease-in,이징 in(ease-in),easing,,false,single,0,transition-timing-function,"cubic-bezier(0.42, 0, 1, 1)",
transition,전환(Transition),--app-ease-out,이징 out(ease-out),easing,,false,single,0,transition-timing-function,"cubic-bezier(0, 0, 0.58, 1)",
transition,전환(Transition),--app-ease-in-out,이징 in-out,easing,,false,single,0,transition-timing-function,"cubic-bezier(0.42, 0, 0.58, 1)",
transition,전환(Transition),--app-ease-linear,이징 linear,easing,,false,single,0,transition-timing-function,linear,
sizing,크기·레이아웃(고급),--app-control-height,컨트롤 높이,length,px,false,single,0,height;min-height,38px,
sizing,크기·레이아웃(고급),--app-control-height-small,작은 컨트롤 높이,length,px,false,single,0,height;min-height,30px,
sizing,크기·레이아웃(고급),--app-button-height,버튼 높이,length,px,false,single,0,height;min-height,42px,
sizing,크기·레이아웃(고급),--app-content-max-width,콘텐츠 최대 너비,length,px,false,single,0,max-width,1600px,
sizing,크기·레이아웃(고급),--app-field-min-width,필드 최소 너비,length,px,false,single,0,min-width,180px,
sizing,크기·레이아웃(고급),--app-aside-min-width,사이드 최소 너비,length,px,false,single,0,min-width,300px,
sizing,크기·레이아웃(고급),--app-sidebar-width,사이드바 너비,length,px,false,single,0,width,208px,
sizing,크기·레이아웃(고급),--app-sidebar-width-compact,사이드바 축소 너비,length,px,false,single,0,width,176px,
sizing,크기·레이아웃(고급),--app-sidebar-width-min,사이드바 최소 너비,length,px,false,single,0,width,72px,
sizing,크기·레이아웃(고급),--app-utility-height,유틸리티 바 높이,length,px,false,single,0,height,60px,
sizing,크기·레이아웃(고급),--app-nav-item-height,내비 항목 높이,length,px,false,single,0,height,44px,
zindex,레이어(z-index),--app-shell-z-sidebar,사이드바 레이어,number,,false,single,0,z-index,40,
zindex,레이어(z-index),--app-shell-z-overlay,오버레이 레이어,number,,false,single,0,z-index,30,
